uf,municipio,logradouro,complemento,bairro,telefone,id
SP,Sao Paulo,Av. Francisco Nóbrega Barbosa,110 -,Não,(11)5515-3477,9183
SP,Santos,Rua Dr. Egydio Martins,181 -,Ponta da Praia,(13) 3269 5759,105564
SP,Sao Paulo,"Rua Trocari, 155 Vila Prudente",155 -,Vila Prudente,11 2215-8899,6600
SP,Ribeirao Preto,Rua Padre Euclides,995 -,Campos Elísios,(16)21011010,657781
SP,Ribeirao Preto,Rua São Sebastião,1324 -,Vila Seixas,1639778000,1039554
SP,Sao Paulo,Rua Basílio da Gama,77/81 -,Centro,11-30610212,1057087
SP,Santos,Avenida Conselheiro Nébias,300 -,Vila Mathias,(13) 32055555,657795
SP,Sao Paulo,Av. Engenheiro Eusébio Stevaux,Nº 823 -,Jurubatuba,(11) 56827300,659695
SP,Ribeirao Preto,Rua Lafaiete,261 -,Centro,1636039982,18760
SP,Santos,Avenida Francisco Manoel,S/n° -,Vila Mathias,(13) 3234 7118,370
SP,Santos,Av. Ana Costa,164 - Santos - Sp,Vila Matias,13 3222-4963,25070
SP,Santos,Rua Oswaldo Cruz,266 -,Boqueirão,(13) 3202 7100,658181
SP,Ribeirao Preto,Avenida Carlos Consoni,10 -,Jardim Canadá,(16) 623 0854,368
SP,Ribeirao Preto,Rua São José,743 -,Centro,(16)3610-5899,10260
SP,Ribeirao Preto,Rua Altino Arantes,1278 -,Jardim Sumaré,(43) 3371-7473  (31) 2126-0820,1051701
SP,Sao Paulo,Avenida Otacílio Tomanik,1241 -,Jardim Bonfiglioli,1141931617,1072457
SP,Sao Paulo,Rua Vitorino Carmilo,644 - Casa,Campos Elísios,(11) 3661 5400,658219
SP,Sao Paulo,Rua Penha de França,35 -,Penha,(11) 22278400,1920
SP,Sao Paulo,Praça Nossa Senhora das Vitórias,92 -,Vila Formosa,(11)20764616,141871
SP,Sao Paulo,Rua Prof. Pedreira de Freitas,415 -,Tatuapé,1129421488,132230
SP,Salto de Pirapora,Rua Pedro Moreira,24 - Centro,Salto de Pirapora,(15) 3292-3439 - 3292-1655,23516
SP,Ribeirao Preto,Av. Costábile Romano,2201 -,Ribeirânia,(16) 603 6799,692496
SP,Promissao,"Rua Genaro Sammarco, 134",386 -,Centro,(43) 3371-7473 (31) 2126-0820,23169
